,uid,guid,id,height,weight,age,position,jersey,salary,birthDate,headshot,FLName,experience,college,birthPlace,Team,hand
RJ Barrett,s:40~l:46~a:4395625,92d6ee441fccf0585b219c8dc7d2efde,4395625,"6' 7""",210 lbs,20,SG,9,"$8,231,760",06/14/00,https://a.espncdn.com/i/headshots/nba/players/full/4395625.png,RJ Barrett,1,Duke,"Toronto, ON",New York Knicks,
Ignas Brazdeikis,s:40~l:46~a:4397205,113393728f9bce210e964977825ce890,4397205,"6' 7""",214 lbs,21,SF,17,"$1,517,981",01/08/99,https://a.espncdn.com/i/headshots/nba/players/full/4397205.png,Ignas Brazdeikis,1,Michigan,Lithuania,New York Knicks,
Reggie Bullock,s:40~l:46~a:2528779,aa25f4ed7be0dd09ba2859aaa11c7a95,2528779,"6' 7""",189 lbs,29,SF,25,"$4,200,000",03/16/91,https://a.espncdn.com/i/headshots/nba/players/full/2528779.png,Reggie Bullock,7,North Carolina,"Baltimore, MD",New York Knicks,
Alec Burks,s:40~l:46~a:6429,f81289a6fd8e62c7713879f80f21610a,6429,"6' 6""",220 lbs,29,SG,18,"$6,000,000",07/20/91,https://a.espncdn.com/i/headshots/nba/players/full/6429.png,Alec Burks,9,Colorado,"Grandview, MO",New York Knicks,
Jared Harper,s:40~l:46~a:4066248,ff1e65a12b0d428adad77e7801a963a1,4066248,"6' 0""",172 lbs,23,PG,0,0,09/14/97,https://a.espncdn.com/i/headshots/nba/players/full/4066248.png,Jared Harper,1,Auburn,"Mableton, GA",New York Knicks,
Nerlens Noel,s:40~l:46~a:2991280,e5b55e3dff2c1cd1e3ef7ce77ef21c62,2991280,"6' 11""",201 lbs,26,C,3,"$5,000,000",04/10/94,https://a.espncdn.com/i/headshots/nba/players/full/2991280.png,Nerlens Noel,6,Kentucky,"Malden, MA",New York Knicks,B
Frank Ntilikina,s:40~l:46~a:4230547,960a65ebc815b94c9fc02712bd4fd93f,4230547,"6' 5""",197 lbs,22,PG,11,"$6,176,578",07/28/98,https://a.espncdn.com/i/headshots/nba/players/full/4230547.png,Frank Ntilikina,3,,Belgium,New York Knicks,
Elfrid Payton,s:40~l:46~a:2583639,e2160cce28c6ea0ef083f0845a0951e6,2583639,"6' 4""",201 lbs,26,PG,6,"$5,000,000",02/22/94,https://a.espncdn.com/i/headshots/nba/players/full/2583639.png,Elfrid Payton,6,Louisiana-Lafayette,"Gretna, LA",New York Knicks,
Theo Pinson,s:40~l:46~a:3138154,687b516ff60db03e4392fddc80f2a793,3138154,"6' 6""",210 lbs,25,SG,21,"$1,445,697",11/05/95,https://a.espncdn.com/i/headshots/nba/players/full/3138154.png,Theo Pinson,2,North Carolina,"Greensboro, NC",New York Knicks,
Immanuel Quickley,s:40~l:46~a:4395724,4b4c31ede9b7ab2004621919716aaa63,4395724,"6' 3""",181 lbs,21,SG,5,"$2,105,520",06/17/99,https://a.espncdn.com/i/headshots/nba/players/full/4395724.png,Immanuel Quickley,0,Kentucky,"Havre De Grace, MD",New York Knicks,
Julius Randle,s:40~l:46~a:3064514,cea0d1d3635387c8929ec556ae36dc41,3064514,"6' 9""",254 lbs,26,PF,30,"$18,900,000",11/29/94,https://a.espncdn.com/i/headshots/nba/players/full/3064514.png,Julius Randle,6,Kentucky,"Dallas, TX",New York Knicks,
Austin Rivers,s:40~l:46~a:6617,3247a1a122286918132d730dbe85aa01,6617,"6' 4""",204 lbs,28,PG,8,"$3,500,000",08/01/92,https://a.espncdn.com/i/headshots/nba/players/full/6617.png,Austin Rivers,8,Duke,"Santa Monica, CA",New York Knicks,
Mitchell Robinson,s:40~l:46~a:4351852,0f21507bed4fc040eefc8223b67fab5b,4351852,"7' 0""",252 lbs,22,C,23,"$1,663,861",04/01/98,https://a.espncdn.com/i/headshots/nba/players/full/4351852.png,Mitchell Robinson,2,Western Kentucky,"Pensacola, FL",New York Knicks,
Omari Spellman,s:40~l:46~a:4065836,7cee5c4a7e54efc730aaa8b4c87ce8e0,4065836,"6' 9""",284 lbs,23,PF,2,"$1,988,280",07/21/97,https://a.espncdn.com/i/headshots/nba/players/full/4065836.png,Omari Spellman,2,Villanova,"Cleveland, OH",New York Knicks,R
Obi Toppin,s:40~l:46~a:4278355,5906d1099922295b8e60cd644f04178a,4278355,"6' 9""",212 lbs,22,PF,1,"$4,862,040",03/04/98,https://a.espncdn.com/i/headshots/nba/players/full/4278355.png,Obi Toppin,0,Dayton,"Brooklyn, NY",New York Knicks,L
Tony Bradley,s:40~l:46~a:4065673,78cd79a1db814a119177c0b340ccf5a3,4065673,"6' 10""",260 lbs,22,C,11,"$3,542,060",01/08/98,https://a.espncdn.com/i/headshots/nba/players/full/4065673.png,Tony Bradley,3,North Carolina,"Bartow, FL",Philadelphia 76ers,
Seth Curry,s:40~l:46~a:2326307,3f5993882fb23f8c8f8ba0ec58fd65d2,2326307,"6' 1""",192 lbs,30,SG,31,"$7,834,449",08/23/90,https://a.espncdn.com/i/headshots/nba/players/full/2326307.png,Seth Curry,6,Duke,"Charlotte, NC",Philadelphia 76ers,
Joel Embiid,s:40~l:46~a:3059318,8941011900115ba0efed7b0b6c756c23,3059318,"7' 0""",280 lbs,26,C,21,"$29,542,010",03/16/94,https://a.espncdn.com/i/headshots/nba/players/full/3059318.png,Joel Embiid,4,Kansas,Cameroon,Philadelphia 76ers,
Terrance Ferguson,s:40~l:46~a:4230546,405e1db7733f430eabd42b2e10dc2773,4230546,"6' 7""",195 lbs,22,SF,23,"$3,944,013",05/17/98,https://a.espncdn.com/i/headshots/nba/players/full/4230546.png,Terrance Ferguson,3,,"Tulsa, OK",Philadelphia 76ers,
Danny Green,s:40~l:46~a:3988,e5cf89d43b87d7b8dd64f38e63824016,3988,"6' 6""",210 lbs,33,SG,14,"$15,365,853",06/22/87,https://a.espncdn.com/i/headshots/nba/players/full/3988.png,Danny Green,11,North Carolina,"New York, NY",Philadelphia 76ers,
Tobias Harris,s:40~l:46~a:6440,7975a3ae314d5282e1d0b9d4d47e151a,6440,"6' 8""",228 lbs,28,SF,12,"$34,358,850",07/15/92,https://a.espncdn.com/i/headshots/nba/players/full/6440.png,Tobias Harris,9,Tennessee,"Islip, NY",Philadelphia 76ers,
Dwight Howard,s:40~l:46~a:2384,3532d110b6c41d6be11685a7fbbee2de,2384,"6' 9""",260 lbs,35,C,39,"$1,620,564",12/08/85,https://a.espncdn.com/i/headshots/nba/players/full/2384.png,Dwight Howard,16,,"Atlanta, GA",Philadelphia 76ers,
Isaiah Joe,s:40~l:46~a:4395702,df47e3975af242fa965a0574219eec8d,4395702,"6' 4""",167 lbs,21,SG,7,"$898,310",07/02/99,https://a.espncdn.com/i/headshots/nba/players/full/4395702.png,Isaiah Joe,0,Arkansas,,Philadelphia 76ers,
Furkan Korkmaz,s:40~l:46~a:3929325,ead1819b68191f7af43a3122e5e15fad,3929325,"6' 7""",210 lbs,23,SG,30,"$1,762,796",07/24/97,https://a.espncdn.com/i/headshots/nba/players/full/3929325.png,Furkan Korkmaz,3,,Turkey,Philadelphia 76ers,
Dakota Mathias,s:40~l:46~a:3136991,a3872d02fe25b57a7832123d2009375c,3136991,"6' 3""",197 lbs,25,SG,33,0,07/11/95,https://a.espncdn.com/i/headshots/nba/players/full/3136991.png,Dakota Mathias,0,Purdue,"Lima, OH",Philadelphia 76ers,
Tyrese Maxey,s:40~l:46~a:4431678,4a24e9cd-a7a5-371b-9148-bef246046609,4431678,"6' 2""",191 lbs,20,PG,0,"$2,478,840",11/04/00,https://a.espncdn.com/i/headshots/nba/players/full/4431678.png,Tyrese Maxey,0,Kentucky,"Dallas, TX",Philadelphia 76ers,
Shake Milton,s:40~l:46~a:3915195,6575a3513a38c256f17d4f2aa62ad2ce,3915195,"6' 5""",210 lbs,24,SG,18,"$1,701,593",09/26/96,https://a.espncdn.com/i/headshots/nba/players/full/3915195.png,Shake Milton,2,SMU,"Owasso, OK",Philadelphia 76ers,
Vincent Poirier,s:40~l:46~a:4237215,3cc13d622a26f0a48ff42fc6ee7370fb,4237215,"7' 1""",260 lbs,27,C,17,"$2,619,207",10/17/93,https://a.espncdn.com/i/headshots/nba/players/full/4237215.png,Vincent Poirier,1,,France,Philadelphia 76ers,
Paul Reed,s:40~l:46~a:4278562,8b70ae67c286c72b7b508741a5dbbb3d,4278562,"6' 8""",218 lbs,21,SF,44,0,06/14/99,https://a.espncdn.com/i/headshots/nba/players/full/4278562.png,Paul Reed,0,DePaul,"Orlando, FL",Philadelphia 76ers,
Mike Scott,s:40~l:46~a:6622,c69d800a269549d8e624e65cda575694,6622,"6' 7""",237 lbs,32,PF,1,"$5,005,350",07/16/88,https://a.espncdn.com/i/headshots/nba/players/full/6622.png,Mike Scott,8,Virginia,"Chesapeake, VA",Philadelphia 76ers,L
Ben Simmons,s:40~l:46~a:3907387,c55250794a9b1491713f1f48699e89b0,3907387,"6' 10""",240 lbs,24,PG,25,"$30,559,200",07/20/96,https://a.espncdn.com/i/headshots/nba/players/full/3907387.png,Ben Simmons,3,LSU,Australia,Philadelphia 76ers,
Matisse Thybulle,s:40~l:46~a:3907498,0ce4527c004af0c15aa57b1935e84067,3907498,"6' 5""",202 lbs,23,SG,22,"$2,711,280",03/04/97,https://a.espncdn.com/i/headshots/nba/players/full/3907498.png,Matisse Thybulle,1,Washington,"Scottsdale, AZ",Philadelphia 76ers,
OG Anunoby,s:40~l:46~a:3934719,31ec117d6e14d4f094149d2467197179,3934719,"6' 8""",232 lbs,23,SF,3,"$3,872,215",07/17/97,https://a.espncdn.com/i/headshots/nba/players/full/3934719.png,OG Anunoby,3,Indiana,England,Toronto Raptors,B
Aron Baynes,s:40~l:46~a:2968439,e13c65978f551b2168dd677c0182c52d,2968439,"6' 10""",260 lbs,34,C,46,"$7,000,000",12/09/86,https://a.espncdn.com/i/headshots/nba/players/full/2968439.png,Aron Baynes,8,Washington State,New Zealand,Toronto Raptors,
Chris Boucher,s:40~l:46~a:3948153,843d6489a236c54a38db617c74ded459,3948153,"6' 10""",200 lbs,27,PF,25,"$6,750,000",01/11/93,https://a.espncdn.com/i/headshots/nba/players/full/3948153.png,Chris Boucher,3,Oregon,,Toronto Raptors,
Terence Davis,s:40~l:46~a:3919454,063803e61039bb717172aa9fe499dbe5,3919454,"6' 4""",205 lbs,23,SG,0,"$1,517,981",05/16/97,https://a.espncdn.com/i/headshots/nba/players/full/3919454.png,Terence Davis,1,Ole Miss,"Southaven, MS",Toronto Raptors,
Malachi Flynn,s:40~l:46~a:4066668,6feae4fc4a16e3800f60b635cd76ebdf,4066668,"6' 1""",185 lbs,22,PG,8,"$1,950,600",05/10/98,https://a.espncdn.com/i/headshots/nba/players/full/4066668.png,Malachi Flynn,0,San Diego State,"Tacoma, WA",Toronto Raptors,
Jalen Harris,s:40~l:46~a:4066998,7aa971e56695be8cc50fc9b5efb93d37,4066998,"6' 5""",195 lbs,22,SG,2,0,08/14/98,https://a.espncdn.com/i/headshots/nba/players/full/4066998.png,Jalen Harris,0,Nevada,"Dallas, TX",Toronto Raptors,R
Stanley Johnson,s:40~l:46~a:3134881,6caed88faf780c9839373c45c93fd069,3134881,"6' 7""",245 lbs,24,SF,5,"$3,804,150",05/29/96,https://a.espncdn.com/i/headshots/nba/players/full/3134881.png,Stanley Johnson,5,Arizona,"Anaheim, CA",Toronto Raptors,
Alex Len,s:40~l:46~a:2596107,56df8855ab0a659aeed2ccb77a2b77f7,2596107,"7' 0""",250 lbs,27,C,27,"$2,258,000",06/16/93,https://a.espncdn.com/i/headshots/nba/players/full/2596107.png,Alex Len,7,Maryland,Ukraine,Toronto Raptors,
Kyle Lowry,s:40~l:46~a:3012,f47675222a75d36e0214eeb7a489af0e,3012,"6' 1""",196 lbs,34,PG,7,"$30,500,000",03/25/86,https://a.espncdn.com/i/headshots/nba/players/full/3012.png,Kyle Lowry,14,Villanova,"Philadelphia, PA",Toronto Raptors,
Patrick McCaw,s:40~l:46~a:3137730,a8813780dda6d3d8164dd05be84d7a43,3137730,"6' 7""",185 lbs,25,SF,22,"$4,000,000",10/25/95,https://a.espncdn.com/i/headshots/nba/players/full/3137730.png,Patrick McCaw,4,UNLV,,Toronto Raptors,
Norman Powell,s:40~l:46~a:2595516,4941d0401812cbb027bf598cd624bc84,2595516,"6' 4""",215 lbs,27,SG,24,"$10,865,952",05/25/93,https://a.espncdn.com/i/headshots/nba/players/full/2595516.png,Norman Powell,5,UCLA,"San Diego, CA",Toronto Raptors,
Pascal Siakam,s:40~l:46~a:3149673,7c82adbb96d724542921535f8b8f6248,3149673,"6' 9""",230 lbs,26,PF,43,"$30,559,200",04/02/94,https://a.espncdn.com/i/headshots/nba/players/full/3149673.png,Pascal Siakam,4,New Mexico State,Cameroon,Toronto Raptors,
Matt Thomas,s:40~l:46~a:3059311,4047056662eb99aeef06b0a7401917e8,3059311,"6' 4""",190 lbs,26,SG,21,"$1,517,981",08/04/94,https://a.espncdn.com/i/headshots/nba/players/full/3059311.png,Matt Thomas,1,Iowa State,"Decatur, IL",Toronto Raptors,
Fred VanVleet,s:40~l:46~a:2991230,6c6e5179fc67908ebc500a5580d64159,2991230,"6' 0""",195 lbs,26,SG,23,"$21,250,000",02/25/94,https://a.espncdn.com/i/headshots/nba/players/full/2991230.png,Fred VanVleet,4,Wichita State,"Rockford, IL",Toronto Raptors,
Yuta Watanabe,s:40~l:46~a:3133838,7919bc9c2a39dd2c41fcf7d4ef8567fe,3133838,"6' 9""",205 lbs,26,SF,18,0,10/13/94,https://a.espncdn.com/i/headshots/nba/players/full/3133838.png,Yuta Watanabe,2,George Washington,Japan,Toronto Raptors,
Paul Watson,s:40~l:46~a:3058030,6dc16b47c281c67d63cbe6ad03cbc117,3058030,"6' 6""",210 lbs,26,SG,1,"$1,445,697",12/30/94,https://a.espncdn.com/i/headshots/nba/players/full/3058030.png,Paul Watson,1,Fresno State,USA,Toronto Raptors,L
Ryan Arcidiacono,s:40~l:46~a:2991047,94e5307f37c4541f3491eef33255c48c,2991047,"6' 3""",200 lbs,26,PG,51,"$3,000,000",03/26/94,https://a.espncdn.com/i/headshots/nba/players/full/2991047.png,Ryan Arcidiacono,3,Villanova,"Philadelphia, PA",Chicago Bulls,
Devon Dotson,s:40~l:46~a:4397016,2385823d74610adf7d2b3877541010a0,4397016,"6' 2""",185 lbs,21,PG,3,0,08/02/99,https://a.espncdn.com/i/headshots/nba/players/full/4397016.png,Devon Dotson,0,Kansas,"Charlotte, NC",Chicago Bulls,B
Cristiano Felicio,s:40~l:46~a:3113587,d1e73c8c947fa0edfbd6880579f09cb1,3113587,"6' 10""",289 lbs,28,PF,6,"$7,529,020",07/07/92,https://a.espncdn.com/i/headshots/nba/players/full/3113587.png,Cristiano Felicio,5,,Brazil,Chicago Bulls,
Daniel Gafford,s:40~l:46~a:4278049,5ea1b27c35dcc1cf3d9cba22c98062d4,4278049,"6' 11""",246 lbs,22,PF,12,"$1,517,981",10/01/98,https://a.espncdn.com/i/headshots/nba/players/full/4278049.png,Daniel Gafford,1,Arkansas,"El Dorado, AR",Chicago Bulls,
Chandler Hutchison,s:40~l:46~a:3149010,0bbef0d6e2d16753f4220deaba4baea8,3149010,"6' 7""",208 lbs,24,SF,15,"$2,443,440",04/26/96,https://a.espncdn.com/i/headshots/nba/players/full/3149010.png,Chandler Hutchison,2,Boise State,"Mission Viejo, CA",Chicago Bulls,
Luke Kornet,s:40~l:46~a:3064560,7a7e5cbb08080a1108e45b50144abcb9,3064560,"7' 2""",250 lbs,25,PF,2,"$2,250,000",07/15/95,https://a.espncdn.com/i/headshots/nba/players/full/3064560.png,Luke Kornet,3,Vanderbilt,"Lantana, TX",Chicago Bulls,R
Zach LaVine,s:40~l:46~a:3064440,dba79cae3f61b87b37d9223f39b4f516,3064440,"6' 5""",202 lbs,25,SG,8,"$19,500,000",03/10/95,https://a.espncdn.com/i/headshots/nba/players/full/3064440.png,Zach LaVine,6,UCLA,"Renton, WA",Chicago Bulls,
Lauri Markkanen,s:40~l:46~a:4066336,87ff7f1be52ab236308c878d12df8446,4066336,"7' 0""",238 lbs,23,F,24,"$6,731,508",05/22/97,https://a.espncdn.com/i/headshots/nba/players/full/4066336.png,Lauri Markkanen,3,Arizona,Finland,Chicago Bulls,
Adam Mokoka,s:40~l:46~a:4349241,5e54fa1ddac2f6fe9b5b7d458ec916db,4349241,"6' 5""",215 lbs,22,SG,20,0,07/18/98,https://a.espncdn.com/i/headshots/nba/players/full/4349241.png,Adam Mokoka,1,,France,Chicago Bulls,
Tomas Satoransky,s:40~l:46~a:6621,42b1cdebf3b717ab634e04546db551d3,6621,"6' 7""",212 lbs,29,SG,31,"$10,000,000",10/30/91,https://a.espncdn.com/i/headshots/nba/players/full/6621.png,Tomas Satoransky,4,,,Chicago Bulls,
Garrett Temple,s:40~l:46~a:4023,4db0d5c9fcda03269e731d0b3b409658,4023,"6' 5""",195 lbs,34,SG,17,"$4,767,000",05/08/86,https://a.espncdn.com/i/headshots/nba/players/full/4023.png,Garrett Temple,10,LSU,"Baton Rouge, LA",Chicago Bulls,
Denzel Valentine,s:40~l:46~a:2999549,c4d7526e039e65ad70ba53e87bdf2051,2999549,"6' 5""",218 lbs,27,SG,45,"$4,642,800",11/16/93,https://a.espncdn.com/i/headshots/nba/players/full/2999549.png,Denzel Valentine,3,Michigan State,"Lansing, MI",Chicago Bulls,
Coby White,s:40~l:46~a:4395651,750f545c3cc8fea491cd828da373cc8e,4395651,"6' 5""",191 lbs,20,PG,0,"$5,572,680",02/16/00,https://a.espncdn.com/i/headshots/nba/players/full/4395651.png,Coby White,1,North Carolina,"Goldsboro, NC",Chicago Bulls,
Patrick Williams,s:40~l:46~a:4431687,ced929afe55c1316d44f5a6bfe33dda4,4431687,"6' 8""",227 lbs,19,SF,9,"$7,068,360",08/26/01,https://a.espncdn.com/i/headshots/nba/players/full/4431687.png,Patrick Williams,0,Florida State,"Charlotte, NC",Chicago Bulls,
Thaddeus Young,s:40~l:46~a:3244,2f6738bf131716a49fb244464533ef77,3244,"6' 8""",232 lbs,32,PF,21,"$13,545,000",06/21/88,https://a.espncdn.com/i/headshots/nba/players/full/3244.png,Thaddeus Young,13,Georgia Tech,"New Orleans, LA",Chicago Bulls,
